,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
0,   R$ 8.500 /Mês  ,  3   Quartos  ,"Rua Professor José Leite e Oiticica, 240 - Vila Gertrudes, São Paulo - SP",  5   Banheiros  ,  2   Vagas  , 150 , Vila Gertrudes,"Rua Professor José Leite e Oiticica, 240"
1,   R$ 2.800 /Mês  ,  2   Quartos  ,"Rua Castro Alves, 279 - Aclimação, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 60 , Aclimação,"Rua Castro Alves, 279"
2,   R$ 1.400 /Mês  ,  3   Quartos  ,"Avenida Engenheiro Heitor Antônio Eiras Garcia, 400 - Jardim Esmeralda, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 72 , Jardim Esmeralda,"Avenida Engenheiro Heitor Antônio Eiras Garcia, 400"
3,   R$ 3.000 /Mês  ,  3   Quartos  ,"Avenida Mascote - Vila Mascote, São Paulo - SP",  3   Banheiros  ,  1   Vaga  , 90 , Vila Mascote,Avenida Mascote
4,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 60 , Vila Olímpia,"Rua Helena, 52"
5,   R$ 1.550 /Mês  ,  2   Quartos  ,"Avenida Escola Politécnica, 2200 - Rio Pequeno, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 57 , Rio Pequeno,"Avenida Escola Politécnica, 2200"
6,   R$ 2.950 /Mês  ,  2   Quartos  ,"Rua Padre Carvalho, 68 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 60 , Pinheiros,"Rua Padre Carvalho, 68"
7,   R$ 1.600 /Mês  ,  1   Quarto  ,"Alameda dos Nhambiquaras - Indianópolis, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 38 , Indianópolis,Alameda dos Nhambiquaras
8,   R$ 1.100 /Mês  ,  2   Quartos  ,"Avenida do Oratório, 5923 - Jardim Ângela (Zona Leste), São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 122 , Jardim Ângela (Zona Leste),"Avenida do Oratório, 5923"
9,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Maestro Cardim, 266 - Liberdade, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 60 , Liberdade,"Rua Maestro Cardim, 266"
10,   R$ 6.500 /Mês  ,  1   Quarto  ,"Rua Doutor Mário Ferraz, 415 - Jardim Paulistano, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 50 , Jardim Paulistano,"Rua Doutor Mário Ferraz, 415"
11,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Luís Dias, 135 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 35 , Itaim Bibi,"Rua Luís Dias, 135"
12,   R$ 650 /Mês  ,  1   Quarto  ,"Rua Tabor, 255 - Ipiranga, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 16 , Ipiranga,"Rua Tabor, 255"
